"","SampleID","FishYear","Year","Month","Day","birth_month","Method","Region","region_year","Site","site_year","Cohort","cohort_year","region_cohort","site_cohort","TL","FL","SL","Weight","Sex","Stage","MaturityStage","LOtoWt","ROtoWt","Width","Age","sAge","AAC","sAAC","Edge","EdgeRatio","EdgeType","region_stage_year","region_stage_cohort"
"1","AA232",2019,"2021","10","15","10","Line","Riau Archipelago","Riau Archipelago_2019","Riau Archipelago","Riau Archipelago_2019","2017","2017_2019","Riau Archipelago_2017","Riau Archipelago_2017",531,NA,459,2100,"",NA,"Immature",NA,0.757,0.373,2,-0.934807437711907,3,-1.09363072162382,0.155,0.615079365079365,"Intermediate","Riau Archipelago_Immature_2019","Riau Archipelago_Immature_2017"
"2","AA232",2020,"2021","10","15","10","Line","Riau Archipelago","Riau Archipelago_2020","Riau Archipelago","Riau Archipelago_2020","2017","2017_2020","Riau Archipelago_2017","Riau Archipelago_2017",531,NA,459,2100,"",NA,"Immature",NA,0.757,0.252,3,-0.529342329603742,3,-1.09363072162382,0.155,0.615079365079365,"Intermediate","Riau Archipelago_Immature_2020","Riau Archipelago_Immature_2017"
"3","AA233",2019,"2021","10","15","10","Line","Riau Archipelago","Riau Archipelago_2019","Riau Archipelago","Riau Archipelago_2019","2017","2017_2019","Riau Archipelago_2017","Riau Archipelago_2017",549,NA,471,2480,"",NA,"Immature",NA,0.759,0.375,2,-0.934807437711907,3,-1.09363072162382,0.087,0.446153846153846,"Intermediate","Riau Archipelago_Immature_2019","Riau Archipelago_Immature_2017"
"4","AA233",2020,"2021","10","15","10","Line","Riau Archipelago","Riau Archipelago_2020","Riau Archipelago","Riau Archipelago_2020","2017","2017_2020","Riau Archipelago_2017","Riau Archipelago_2017",549,NA,471,2480,"",NA,"Immature",NA,0.759,0.195,3,-0.529342329603742,3,-1.09363072162382,0.087,0.446153846153846,"Intermediate","Riau Archipelago_Immature_2020","Riau Archipelago_Immature_2017"
"5","AA268",2020,"2021","10","19","10","Line","Riau Archipelago","Riau Archipelago_2020","Riau Archipelago","Riau Archipelago_2020","2018","2018_2020","Riau Archipelago_2018","Riau Archipelago_2018",550,NA,472,2740,"",NA,"Immature",0.864,0.858,0.469,2,-0.934807437711907,2,-1.49909582973198,0.188,0.400852878464819,"Intermediate","Riau Archipelago_Immature_2020","Riau Archipelago_Immature_2018"
"6","AA270",2019,"2021","10","19","10","Line","Riau Archipelago","Riau Archipelago_2019","Riau Archipelago","Riau Archipelago_2019","2017","2017_2019","Riau Archipelago_2017","Riau Archipelago_2017",511,NA,581,3080,"",NA,"Immature",0.831,0.82,0.347,2,-0.934807437711907,3,-1.09363072162382,0.096,0.564705882352941,"Intermediate","Riau Archipelago_Immature_2019","Riau Archipelago_Immature_2017"
"7","AA270",2020,"2021","10","19","10","Line","Riau Archipelago","Riau Archipelago_2020","Riau Archipelago","Riau Archipelago_2020","2017","2017_2020","Riau Archipelago_2017","Riau Archipelago_2017",511,NA,581,3080,"",NA,"Immature",0.831,0.82,0.17,3,-0.529342329603742,3,-1.09363072162382,0.096,0.564705882352941,"Intermediate","Riau Archipelago_Immature_2020","Riau Archipelago_Immature_2017"
"8","AA300",2020,"2021","11","9","10","Line","Riau Archipelago","Riau Archipelago_2020","Riau Archipelago","Riau Archipelago_2020","2018","2018_2020","Riau Archipelago_2018","Riau Archipelago_2018",532,NA,441,1900,"",NA,"Immature",0.844,0.842,0.373,2,-0.934807437711907,2,-1.49909582973198,0.245,0.656836461126005,"Intermediate","Riau Archipelago_Immature_2020","Riau Archipelago_Immature_2018"
"9","AA399",2017,"2021","11","22","10",NA,"Riau Archipelago","Riau Archipelago_2017","Riau Archipelago","Riau Archipelago_2017","2015","2015_2017","Riau Archipelago_2015","Riau Archipelago_2015",730,NA,622,4980,"",NA,"Immature",1.691,1.634,0.462,2,-0.934807437711907,5,-0.582805097857825,0.167,0.893048128342246,"Wide","Riau Archipelago_Immature_2017","Riau Archipelago_Immature_2015"
"10","AA399",2018,"2021","11","22","10",NA,"Riau Archipelago","Riau Archipelago_2018","Riau Archipelago","Riau Archipelago_2018","2015","2015_2018","Riau Archipelago_2015","Riau Archipelago_2015",730,NA,622,4980,"",NA,"Immature",1.691,1.634,0.265,3,-0.529342329603742,5,-0.582805097857825,0.167,0.893048128342246,"Wide","Riau Archipelago_Immature_2018","Riau Archipelago_Immature_2015"
"11","AA399",2019,"2021","11","22","10",NA,"Riau Archipelago","Riau Archipelago_2019","Riau Archipelago","Riau Archipelago_2019","2015","2015_2019","Riau Archipelago_2015","Riau Archipelago_2015",730,NA,622,4980,"",NA,"Immature",1.691,1.634,0.187,4,-0.241660257151961,5,-0.582805097857825,0.167,0.893048128342246,"Wide","Riau Archipelago_Immature_2019","Riau Archipelago_Immature_2015"
"12","AA399",2020,"2021","11","22","10",NA,"Riau Archipelago","Riau Archipelago_2020","Riau Archipelago","Riau Archipelago_2020","2015","2015_2020","Riau Archipelago_2015","Riau Archipelago_2015",730,NA,622,4980,"",NA,"Mature",1.691,1.634,0.187,5,-0.0185167058377516,5,-0.582805097857825,0.167,0.893048128342246,"Wide","Riau Archipelago_Mature_2020","Riau Archipelago_Mature_2015"
"13","AA400",2017,"2021","11","20","10",NA,"Riau Archipelago","Riau Archipelago_2017","Riau Archipelago","Riau Archipelago_2017","2015","2015_2017","Riau Archipelago_2015","Riau Archipelago_2015",683,NA,572,4280,"",NA,"Immature",1.366,1.338,0.442,2,-0.934807437711907,5,-0.582805097857825,0.118,0.921875,"Wide","Riau Archipelago_Immature_2017","Riau Archipelago_Immature_2015"
"14","AA400",2018,"2021","11","20","10",NA,"Riau Archipelago","Riau Archipelago_2018","Riau Archipelago","Riau Archipelago_2018","2015","2015_2018","Riau Archipelago_2015","Riau Archipelago_2015",683,NA,572,4280,"",NA,"Immature",1.366,1.338,0.196,3,-0.529342329603742,5,-0.582805097857825,0.118,0.921875,"Wide","Riau Archipelago_Immature_2018","Riau Archipelago_Immature_2015"
